uuid,title,description,application_link,company,location
job_1_1768569986,Filters,"Date posted
Type of Company
Job types
Salaries
Locations
Filters
Sort by
Relevance
Salaries
Date posted
Type of Company
Job types
60 Data Scientist jobs
Business Data Scientist, gData
Google Ireland Ltd
Dublin, County Dublin
€ Not Disclosed
1 week ago
Clinical Data Scientist
ICON Clinical Research Limited
County Dublin
€ Not Disclosed
6 days ago
Business Data Scientist, Trust and Safety
Google Ireland Ltd
Dublin, County Dublin
€ Not Disclosed
1 week ago
Data Scientist
Fruition Resources Group Li",https://www.irishjobs.ie/jobs/data-scientist?salary=10000&salarytypeid=1&action=facet_selected%3bsalary%3b10000%3bsalarytypeid%3b1&q=data+scientist+,,
job_2_1768569987,"Business Data Scientist, gData","Business Data Scientist, gData
Google Ireland Ltd
Dublin, County Dublin
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/google-ireland-ltd?cmpId=1297040&cmp=1,,
job_3_1768569987,Clinical Data Scientist,"Clinical Data Scientist
ICON Clinical Research Limited
County Dublin
€ Not Disclosed
6 days ago",https://www.irishjobs.ie/jobs/icon-clinical-research-limited?cmpId=1242772&cmp=1,,
job_4_1768569987,"Business Data Scientist, Trust and Safety","Business Data Scientist, Trust and Safety
Google Ireland Ltd
Dublin, County Dublin
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/google-ireland-ltd?cmpId=1297040&cmp=1,,
job_5_1768569987,Data Scientist,"Data Scientist
Fruition Resources Group Limited
Dublin, County Dublin
€65,000 - €75,000 per annum
21 hours ago
NEW",https://www.irishjobs.ie/jobs/fruition-resources-group-limited?cmpId=1242563&cmp=1,,
job_6_1768569987,Data Scientist,"Data Scientist
Fruition Resources Group Limited
Dublin, County Dublin
€55,000 - €65,000 per annum
1 week ago",https://www.irishjobs.ie/jobs/fruition-resources-group-limited?cmpId=1242563&cmp=1,,
job_7_1768569987,Data Scientist,"Data Scientist
Real Time Recruitment
Cork, County Cork
€60,000 - €70,000 per annum
1 week ago",https://www.irishjobs.ie/jobs/real-time-recruitment?cmpId=1242721&cmp=1,,
job_8_1768569987,Senior Data Scientist,"Senior Data Scientist
AXA Group
Dublin, County Dublin
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/axa-group?cmpId=1242568&cmp=1,,
job_9_1768569987,Senior Data Scientist,"Senior Data Scientist
Fruition Resources Group Limited
Dublin, County Dublin
€80,000 - €85,000 per annum
1 week ago",https://www.irishjobs.ie/jobs/fruition-resources-group-limited?cmpId=1242563&cmp=1,,
job_10_1768569987,Data Scientist,"Data Scientist
StayCity
County Dublin
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/staycity?cmpId=1393106&cmp=1,,
job_11_1768569987,Sr. Principal Data Scientist,"Sr. Principal Data Scientist
iCIMS
County Dublin
€ Not Disclosed
2 days ago",https://www.irishjobs.ie/jobs/icims?cmpId=1407226&cmp=1,,
job_12_1768569987,Data Scientist (All Levels),"Data Scientist (All Levels)
iCIMS
County Dublin
€ Not Disclosed
3 weeks ago",https://www.irishjobs.ie/jobs/icims?cmpId=1407226&cmp=1,,
job_13_1768569987,Data Scientist,"Data Scientist
Kellanova
Moneygall
€ Not Disclosed
2 days ago",https://www.irishjobs.ie/jobs/kellanova?cmpId=1379919&cmp=1,,
job_14_1768569987,"Data Science Manager, Marketing","Data Science Manager, Marketing
Google Ireland Ltd
Dublin, County Dublin
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/google-ireland-ltd?cmpId=1297040&cmp=1,,
job_15_1768569987,Senior Pricing Actuary - Retail 80-100,"Senior Pricing Actuary - Retail 80-100
Zurich Insurance Company Limited (Ireland Branch)
Republic of Ireland
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/zurich-insurance-company-limited-ireland-branch?cmpId=1242761&q=Zurich+Insurance+Company+Limited+%28Ireland+Branch%29&cmp=1,,
job_16_1768569987,QC Specialist Data Analytics,"QC Specialist Data Analytics
Morgan McKinley
Dun Laoghaire
€ Not Disclosed
3 weeks ago",https://www.irishjobs.ie/jobs/morgan-mckinley?cmpId=1242842&cmp=1,,
job_17_1768569987,Scrum Master,"Scrum Master
AXA Group
Dublin, County Dublin
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/axa-group?cmpId=1242568&cmp=1,,
job_18_1768569987,Forensic Technology Manager - Data Analytics,"Forensic Technology Manager - Data Analytics
Deloitte Ireland LLP
Dublin, County Dublin
€ Not Disclosed
1 week ago",https://www.irishjobs.ie/jobs/deloitte-ireland-llp?cmpId=1242651&cmp=1,,
job_19_1768569987,Associate DevOps Engineer (AI/ML),"Associate DevOps Engineer (AI/ML)
Proofpoint
Cork, County Cork
€ Not Disclosed
2 days ago",https://www.irishjobs.ie/jobs/proofpoint?cmpId=1402196&cmp=1,,
job_20_1768569987,AI Platform Engineer,"AI Platform Engineer
General Motors Ireland Ltd
County Dublin
€ Not Disclosed
3 weeks ago",https://www.irishjobs.ie/jobs/general-motors-ireland-ltd?cmpId=1403410&cmp=1,,
job_21_1768569987,"Senior Software Engineer - Red HaSenior Software Engineer - AI Platform, AI Engineering AI Platforms","Senior Software Engineer - Red HaSenior Software Engineer - AI Platform, AI Engineering AI Platforms
RedHat Limited Red Hat Mobile
Waterford, County Waterford
€ Not Disclosed
2 weeks ago",https://www.irishjobs.ie/jobs/redhat-limited-red-hat-mobile?cmpId=1444632&cmp=1,,
job_22_1768569987,"Senior Product Manager, Python Developer Experience","Senior Product Manager, Python Developer Experience
MongoDB 10gen
County Dublin
€ Not Disclosed
6 days ago",https://www.irishjobs.ie/jobs/mongodb-10gen?cmpId=1444526&cmp=1,,
job_23_1768569987,Temp - Senior Statistician,"Temp - Senior Statistician
Regeneron Ireland
Limerick, County Limerick
€ Not Disclosed
20 hours ago
NEW",https://www.irishjobs.ie/jobs/regeneron-ireland?cmpId=1242955&cmp=1,,
job_24_1768569988,Epidemiologist/Statistician (SAS and/or R required),"Epidemiologist/Statistician (SAS and/or R required)
ICON Clinical Research Limited
County Dublin
€ Not Disclosed
1 day ago",https://www.irishjobs.ie/jobs/icon-clinical-research-limited?cmpId=1242772&cmp=1,,
job_25_1768569988,"Senior Ab Initio Production Support Data Engineer and Analyst - Data and Analytics, Dublin","Senior Ab Initio Production Support Data Engineer and Analyst - Data and Analytics, Dublin
AIB Group
Dublin, County Dublin
€ Not Disclosed
3 weeks ago",https://www.irishjobs.ie/jobs/aib-group?cmpId=1242901&cmp=1,,
job_26_1768569988,Finance Data Analyst,"Finance Data Analyst
FBD Group
County Dublin
€ Not Disclosed
3 days ago",https://www.irishjobs.ie/jobs/fbd-group?cmpId=1242573&cmp=1,,
job_27_1768569988,Title not found,"Related Jobs
Data Analyst
Data Scientist Specialist
Statistician
Junior Data Analyst
Data Analytics
Data Scientist Graduate
Data Scientist Engineer
Statistician Data Analyst
Database Analyst
Data Engineer
show more",https://www.irishjobs.ie/jobs/data-analyst,,
job_28_1768569988,Title not found,"Locations
Dublin
Cork
Waterford
Galway
Limerick
Carlow
Kildare
Kilkenny
Moneygall
County Dublin
County Cork
show more",https://www.irishjobs.ie/jobs/data-scientist/in-dublin?q=data+scientist+,,
job_29_1768569988,Title not found,"Frequently Asked Questions
How many Data Scientist jobs are available on IrishJobs?
There are 60 Data Scientist jobs available on IrishJobs right now.
What other similar jobs are there to Data Scientist jobs?
As well as Data Scientist jobs, you can find Data Analyst, Data Scientist Specialist, Statistician, amongst many others.
How many temporary and part-time Data Scientist jobs are available?
There are 2 temporary Data Scientist jobs and 0 part-time Data Scientist jobs available at the moment.",https://www.irishjobs.ie/jobs/data-analyst,,
job_1_1768569992,Filters,"Date posted
Type of Company
Job types
Salaries
Locations
Filters
Sort by
Relevance
Salaries
Date posted
Type of Company
Job types
60 Data Scientist jobs
No match yet? There are 39 more jobs that could match your search
Business Intelligence Analyst, Google Shopping Solutions
Google Ireland Ltd
Dublin, County Dublin
€ Not Disclosed
3 days ago
Technology, Cyber & Data, Senior Risk Specialist - Assurance, Dublin
AIB Group
Dublin, County Dublin
€ Not Disclosed
22 hours ago
NEW
Central Bioinformatici",https://www.irishjobs.ie/jobs/data-scientist?salary=10000&salarytypeid=1&action=facet_selected%3bsalary%3b10000%3bsalarytypeid%3b1&q=data+scientist+,,
job_2_1768569992,"Business Intelligence Analyst, Google Shopping Solutions","Business Intelligence Analyst, Google Shopping Solutions
Google Ireland Ltd
Dublin, County Dublin
€ Not Disclosed
3 days ago",https://www.irishjobs.ie/jobs/google-ireland-ltd?cmpId=1297040&cmp=1,,
job_3_1768569993,"Technology, Cyber & Data, Senior Risk Specialist - Assurance, Dublin","Technology, Cyber & Data, Senior Risk Specialist - Assurance, Dublin
AIB Group
Dublin, County Dublin
€ Not Disclosed
22 hours ago
NEW",https://www.irishjobs.ie/jobs/aib-group?cmpId=1242901&cmp=1,,
job_4_1768569993,Central Bioinformatician,"Central Bioinformatician
Royal College of Surgeons (RCSI)
Dublin, County Dublin
€ Not Disclosed
6 days ago",https://www.irishjobs.ie/jobs/royal-college-of-surgeons-rcsi?cmpId=1242843&q=Royal+College+of+Surgeons+%28RCSI%29&cmp=1,,
